state,fetched_at,mean_temp_00,mean_temp_01,mean_temp_02,mean_temp_03,mean_temp_04,mean_temp_05,mean_temp_06,mean_temp_07,mean_temp_08,mean_temp_09,mean_temp_10,mean_temp_11,annual_prcp,temp_range,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
NM,1749951989.8152075,34.94973544973545,38.885925925925925,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.374067633359715,37.32370141895142,-61.592957633110295,-50.89784150081225,-12.438449023655755,-46.0343355740709,-43.24999440277198,11.908539715520352,100.27283356373086,93.49044999576142
NY,1749951989.8152075,22.662784090909092,24.65528455284553,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,46.406796109706484,49.61065277777778,79.96456884263445,41.53311005892287,19.563674437803183,50.10267553949847,10.480331987705915,-42.76553738524642,44.838111402833405,22.71111746301558
NC,1749951989.8152075,39.27528735632184,41.89791181041181,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,48.76216503384238,36.13843686868687,-74.08610823218234,-29.266426932267123,-1.1776742767958726,-36.61904954089401,15.269197019938185,76.63771905112178,-105.64527471592548,-64.08840991224282
ND,1749951989.8152075,10.70451127819549,15.654887218045111,27.80326086956522,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,38.805568112462524,61.56892559049138,204.26625765851256,74.35984764568038,-182.4766343955369,141.87144014385765,-92.8660955086306,94.2719057401796,198.55303853258295,79.72846816919976
OH,1749951989.8152075,27.36176470588235,30.32095588235294,39.098333333333336,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,45.21132727649687,44.91167216280452,48.46192274360534,21.6301875528144,-58.70783279997978,29.373721810228645,-23.900835349205515,14.59699912594028,13.298864478356343,-14.74714194197883
OK,1749951989.8152075,37.23784722222222,41.49044117647058,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,44.53375548297404,36.13843686868687,-73.23015050144183,-45.10651392998537,-29.447571978961744,-48.92738094860914,-23.326337147879197,17.147961145200245,18.19705083108922,25.978040233655335
OR,1749951989.8152075,35.79299065420561,38.336755797853925,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,50.61178645719404,36.48044621448126,-28.623372605198274,8.640457396511941,5.418590111603215,-6.0813228158435075,39.680657531512885,63.345538026904656,-149.26672124613276,-107.43952469799041
PA,1749951989.8152075,26.71666666666667,28.82061531007752,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,46.655722184861474,45.5567702020202,44.20212045390583,24.48514019313429,6.2239609214483425,26.56500064544374,6.285191806005798,-28.026620688475845,12.580941098892872,0.9394415524735955
RI,1749951989.8152075,29.01818181818182,31.46818181818182,37.845454545454544,47.31363636363636,56.65909090909091,65.89545454545454,71.30454545454546,70.46363636363637,63.56818181818182,52.94090909090909,44.04545454545455,34.3,49.14909090909091,42.286363636363646,65.81874551210046,-36.12832069450262,36.918401569129486,82.929064944956,17.065047295698008,-42.67925303860265,-25.226951659415278,-19.365672738354213
SC,1749951989.8152075,43.729326923076925,47.10144230769231,53.926442307692305,63.213392857142864,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,48.14066773959987,36.13843686868687,-196.47300079316022,35.740133574749606,53.02404235265207,-163.33286254084945,78.35403180227605,58.9373086953693,-167.26735957716886,-77.93442657606057
